jurisdiction,geoid,stage,ioi_score,confidence,classification,product_type,last_update,next_action,next_action_due,notes
Salida,0867280,Screen,73,medium,B,Workforce rental,2026-05-31,Open Jurisdiction Brief and review HNA status,2026-06-07,Strong rec draw + small-mid size + HNA refresh in progress
Carbondale,0812045,Signal,68,high,A,9% LIHTC,2026-05-28,Draft outreach email to housing director re: ARPA pipeline,2026-06-04,Active funding deployment in the Roaring Fork Valley; inclusionary zoning adopted; strong adopted housing-policy posture
Steamboat Springs,0873825,Signal,75,high,A,Workforce rental,2026-05-27,Review Brown Ranch Phase 1 development team and partnership structure,2026-06-10,Brown Ranch Phase 2 RFP expected Q3 2026 — partnership window for IndiBuild
Glenwood Springs,0830780,Outreach,71,high,B,4% LIHTC + Workforce,2026-05-25,Submit preliminary scope for Workforce Housing Fund RFP,2026-08-15,Open RFP cycle; first IndiBuild submission opportunity in Glenwood
Durango,0822035,Signal,69,high,A,Mixed-income rental,2026-05-24,Wait 30 days for new IHS Director to settle then schedule intro call,2026-06-24,Recent personnel change is an opportunity for a warm introduction
Buena Vista,0810105,Screen,61,medium,C,Workforce rental,2026-05-22,Monitor annexation hearings; track comp plan housing requirements,2026-07-15,Long-horizon conversation; community is the right scale + recreational character we partner well with
Telluride,0876795,Outreach,67,medium,B,Workforce rental,2026-05-08,Schedule call with housing program manager re: municipal land,2026-06-15,Public-land partnership conversation is the actionable next step
Crested Butte,0818310,Signal,64,medium,A,Workforce rental,2026-05-05,Reach out to Slate River team to learn partnership terms,2026-06-12,Active partnership model in the community we could learn from
Granby,0831605,Monitor,52,low,C,Workforce rental,2026-05-20,Check back Q3 on inclusionary zoning adoption,2026-09-01,Long-horizon conversation; community is still developing policy infrastructure
Pagosa Springs,0856860,Monitor,49,low,C,Older adult housing,2026-05-10,Calendar Q4 check-in on comp plan draft,2026-11-01,Older-adult housing fit; the comp plan update is the natural entry conversation
